body,time,hash,location,title
"You totally ruined a great friendship. Friends can forgive, but can only forgive so many times. I cannot even fathom how you can just throw away something that always worked in your favor. You never needed anything that I wouldn't provide, even without you asking. I know your story, your backround, and your other friends. They are terrible people and only take, they aren't even your real friends. We went thru hell and back, and I never gave up, even when you did. I fed your kid and bought her bday gift when you couldn't. I'm spent, I'm empty, and I'm thru. All you had to do was man up to your last selfish mistake, but you were too proud, or just too dumb, or just thought you'd get over on me as always. Not anymore, my back is broke and I can not and will not carry you anymore. You've wore out your welcome and shit where you ate, and you ate well when you were hungry. It's all over, and I got to admit, as glad as I am that I will no longer be taken advantage of, I'm sad because I bet it all on you. I believed in you even when the whole world didnt. I stood proud on the losing team, yet I'm sick over what you got coming your way. Get it together, be a man for once, your 28 with a parentless child. If not for yourself, quit being a selfish taker and give for a change, for her. You may actually enjoy your life more. Karma is a bitch, and it's been ordered for you, it's on its way. Goodbye.",12/22/17,4f800d8eb1060d1780834f5f9ddeb363,pittsburgh,"You ruined a friendship - missed connections"
"We took a long ride from Queens to 53rd & 5th on the E train. We both got off the train together. You have curly hair, had green jeans n puffy coat on. We kept on making eye contacts. I wanted to say hi but now I regret that I haven't. Didn't want to be some weirdo but on the contrary I'm posting on CL. 3four7 six2o 6nine1five",12/22/17,927a5760ebafd69cafc23de6ae98a412,newyork,"Girl on the E train - m4w - missed connections"
"hello if yu own property in fayette county pa or brownville township, or brownsville  and need to get it out of your name  my name is gaylord fleming and can help you butt you will have to get deed made up and pay for the transfer fees other than that its all good please have deed made up and transfered to  gaylord fleming 307 national pike brownsville pa 15417 thats all you need to if its a bigg headache to you of if you owe back taxes on it or whatever you may have inherit it and dont want it any more the fayette county deeds office is located on 1st floor at the court house located in umiontown just have deed prepared and take up there and they will gladly help you on tranferring it the deed must be notorized !! thank you if i can help you",12/22/17,84f2764dc204adffca48ddf98053a64f,pittsburgh,"fayette county pa property owners - missed connections"
"We really botched that one, yeah? It sure was something. I misplaced a lot on this magical quest. Found everything I didn't know I was looking for and more. Here's to the peace of us 🥂",12/22/17,0d34362c135aa7c372776eb3d502635d,newyork,"glass - missed connections"
"I was there this evening we both were waiting for our orders I held the door for you tell me what you where driving to weed out spam hope to hear from you",12/22/17,de6f918f850592e51e08815b36eebfec,pittsburgh,"Pizza - m4w - missed connections"
"HelloI'm feeling the need of a partner to hit the gym hard todayAny takers ???I train at Rychies gym in Ridgewood but I can go to your gym tooEmail with serious responses and ready to bleed today please",12/22/17,314e0d1b2a63329ba4f2b21c624dea0f,newyork,"I need a gym partner - m4m - missed connections"
"Saw you tonight at the bookstore. You were in a baseball cap. We exchange lots of glances but you ran into an ex. I was hoping to connect with you but you got busy. Hit me up if you would like to chat. Tell me something about tonight.",12/22/17,b5b547c76e0c5116ed3ce703c1d551b7,raleigh,"ABS Sunday evening - m4m - missed connections"
"Don't know if you will ever see this but you were working in the Barbershop on Cleveland Rd in Garner today.  I found you very attractive and hot, did not notice if you had a ring on or not but would love to get to know you.  If you happen to see this and are interested, please respond back and tell me what you were wearing today and what you were doing when you were not cutting hair so I will know it is you.  I hope to hear from you!!",12/22/17,2cdf19ab1139afca35350d3c5efc4b9d,raleigh,"Barbershop on Cleveland Rd - m4w - missed connections"
"Relax 💦❗️646 body massage.                                                                   Soft 667massage                                                                      Sweet 6228Japanese massage .                                         Full body massage.                                                                                         Clean quiet and comfortable private house Top quality service !                                                                       nice sweet ladies. Our skill and second to none. We'll have coming back for more.Free table shower availableOpen 24/7",12/22/17,6d4f0a85f78832fe4130c95914c2958d,newyork,"Relaxing - w4m - missed connections"
"body: average height: 5'9' (175cm) status: divorced age: 36 You cut my hair and beard tonight for job interview tomorrow. talked me out of shaving completely! Your name starts with M. you have a daughter and i had my son with me. You have a great personality and cute smile. Wanted to ask you more but couldn't find the words. if this reaches you and you're available for a coffee and conversation let me know what tattoo you have on your arm. maybe you could show me the others!? C",12/22/17,6a11a2de05ec820b89e2bad857274540,raleigh,"Men's hair stylist - m4w - missed connections"
"I saw you yesterday. You looked lovely, totally put-together, except for the run in your stocking. We made eye contact for a moment and I wonder if you knew that I knew. I would love to hear from you.",12/22/17,f8e11b00ec6c07ba4fb7cc2ce0627b35,newyork,"A hole in your stocking - missed connections"
"There was a point in time that I not only missed you, but didn't think I could live without you.  But upon further reflection I've had a change of heart.  It has been interesting reading all this recently about sexual harassment and assault.  You're just as guilty - lying to ruthlessly exploit and induce someone in to a sexual relationship ... that you know wouldn't have happened if you'd been truthful from the start.  You're a narcissistic asshole.  What you did was selfish, hurtful, and mean.  It shows the true content of your character.  #metoo",12/22/17,8a0f67dbe03d041d6279a0a1b55fe1e7,raleigh,"I don't miss u - w4m - missed connections"
"You work at Kane for Elections for the county--You were at the Green Day concert this spring. I asked you about this. asasssaI would love to hang out.",12/22/17,13d55bfa904a7a5219a0be966fa00609,pittsburgh,"Elections at Kane Hospital - m4m - missed connections"
"This evening I was checking out at your register and could not help but to notice you are hot as hell!  You have average length dark brown hair, was wearing a sweater and jeans.  No ear rings but a small nose piercing!  You had a issue with your register tonite and had to move to another one, I believe it was 12.  If you see this tell me what color shoes you were wearing so I know it is you.  I really think we need to talk or something;)",12/22/17,bf42f09a226acda363dfa37f42c486f6,pittsburgh,"Uniontown Target hot male Cashier 12-6-17 - m4m - missed connections"
"I can meet you at 2:00 pm, you know who you are",2018-09-27,5ea94dea5a973ee49a5717daf699799b,pittsburgh,"I'm here - missed connections"
"You were on my flight to Atlanta on Dec 13.  I know we made eye contact a few times waiting to board.  You were wearing a green hoodie and black athletic pants.  I was really hoping you were going to sit next to me.  Respond back and tell me what I was wearing and what our gate was.",12/22/17,92daf47ffe7d0fbc1d9f7097fbf90cf1,raleigh,"Flight to Atlanta - m4w - missed connections"
"Held door for me.  Interested? What company truck were you driving?Meet again maybe.",12/22/17,d8a0c33b629f632693f03cd828865c43,newyork,"Trucker at DD Stratford - m4m - missed connections"
"remember dancing in the night ?warm air blowing from a ceiling fan.. slowly nightskies burst in the summertime don't they ? your eyes glowing. A year prior. A year prior.",12/22/17,f751fb65ef63c6028f6fb51e8d7d98f7,newyork,"and after ? - w4m - missed connections"
"I saw you in there.  You carried yourself in su h a friendly innocent way.  It appeared you were a few months pregnant.  If you were ever looking for a side no strings attached  meetup im sure to make it worth your time.",12/22/17,396c5cd6e57be820235ddd90bbb3feef,pittsburgh,"tabby from getgo - m4w - missed connections"
"I was there with friends around 9:30pm this past Sunday. I bought a beer and Brussels sprouts with bacon. You struck up a little bit of a conversation with me and I couldn't help but notice you seemingly sneaking glances at me. You're adorable. Describe something about me so I know it's you.",12/22/17,efeb0f64426e5944fa0287ec05ae03a3,raleigh,"Cute Concessions Cashier Sunday - m4m - missed connections"
"I took your picture with your mother by the tree at Rockefeller  Monday night. Long distance would never work, right? I can't stop thinking about you though. Tell me my name",12/22/17,09c1824e95109af37466a0c927630b52,newyork,"MN guy took your picture with your mother - m4w - missed connections"
"I suck and swallow you cume deepFor straigt8 guys and bi....discret here send dicl picture and I will send you the address...in my Privet Glory hole",12/22/17,f4639406ca95a7c954565f5bcbfc299d,raleigh,"I suck n swallow u deep in my glory hole - m4m - missed connections"
"We were at adjoining tables at dinner three weeks ago on Saturday night.  My spouse and I were with another couple and you and your husband were dining with others too.  You have shoulder length blonde hair and we made eye contact several times.",12/22/17,e36fdf50b1977c36a278898169b429fb,newyork,"Theatre District Restaurant - m4w - missed connections"
"Here we go again. Why cant we just have a good relationship? The cheating and lying never stops. I gave you my everything. I accepted your children as mine. I forgave you for all the bullshit you put me thru. You never was serious about me. You never accepted your faults. You never tried to change. Instead you blamed everyone else including me. After all this I still love you. I always will. You're the only woman that I've ever loved. In the end you only cheated yourself. You missed out on a loving relationship.",12/22/17,a4fb7dfb36e1a545fca1a0b55f71b253,pittsburgh,"I'll always Love you - m4w - missed connections"
"You were in the checkout line in front of me at the Food Lion off Hilburn Drive last night around 7:15 pm.  I forgot to get something and you said you would watch my cart. Nobody was in line behind me.  I went to get my item and there was nobody that had got in line behind me yet when I returned.  You used your own bags and were in what appeared to be workout attire. I think we are in the same age range (50ish).  I think we may have had a slight connection but I didn't speak up.  If we did have a connection, please let me know what the item was that I went to get.",12/22/17,3f39f7ba570332678419b5876bbfc59d,raleigh,"Food Lion off Hilburn Drive Monday Evening 12/18/17 - m4w - missed connections"
"You were funny and had a great smile! And you knew I was smiling. I wanted to say something else, make a smart remark that I imagine you would have liked but couldn't muster the courage. If you happen to",12/22/17,aca12e4d41649bb8d8e21a9ed9e8af67,raleigh,"Short woman at food lion - m4w - missed connections"
"We met briefly at Coupla Hustlas event a couple of months ago.  Our partners weren't into going for it but I believe we had some interest in each other.",12/22/17,bddf33d048dc98c90583d4658f53ee28,newyork,"Coupla Hustlas - m4w - missed connections"
"I sure did. Man you really had me going, and I think you were too. This is a long shot by far but we'll see. You weren't from around here but I was. Tell me where and what I was wearing to confirm it's you. You were a very handsome man, older maybe late 50s. Me, young and firm, the couple times I felt your cock and furry chest only made me want you more. We kept getting cock blocked though and eventually left at the same time frustrated and horny. You seemed shy, maybe a better setting would've helped. I'd love to see where we could go. Hit me back with details and maybe we can handsome. Too bad that place didn't clear out completely!",12/22/17,61145f17dcb264721a112a5d52d8c19f,raleigh,"Garner, I'm sure we both had blue balls - m4m - missed connections"
"Crowded train and we were right up next to each other, both tall lean guys. You were wearing workout pants and made it very clear you were checking me out and getting hard. I obliged and encouraged you with my eyes. It was getting hot but when we got to the next station at 51st St you asked me if the E connected there. I said yup and you hopped off. I gather you're not a local if you needed to ask that--but I sure would love to keep bulging with you dude. Ideally we would take it to another spot, whip em out and grab each other's.",12/22/17,71205ff0526bb70ba80be6345d4a9685,newyork,"Bulging hard on the 6 train- you transferred to the E train at 51st - m4m - missed connections"
"If you would have let me smash omg. Too bad. Let me know for the future what you are thinking.",12/22/17,0c92f279c2417bef09351247ba4c0e42,pittsburgh,"You are so thick - m4w - missed connections"
"We talked about lottery you drove white suv tell me what you told your mom about charity. You were amazing. Hopefully you hit powerball and take me away with you.",12/22/17,f6b87486110bd563bdef9ab4190a63ef,pittsburgh,"blonde leggings tossle hat nose ring - m4w - missed connections"
"We usually meet eyes whenever we're both there. I hate to be that guy that interrupts someone's workout.",12/22/17,f1a946d4bb4a5005bfedfeb720b42169,raleigh,"I always catch you glancing at me - m4w - missed connections"
"we were alone on the platform and you approached me asking whether C train goes to GrandCentral.. I know this is insane but I got the feel that you will be reading this soon or later.Date&Time:Thursday 30th of November 2017 around 9 p.m",12/22/17,c34a7b756fbc94d9624dc6090cafe451,newyork,"Local C train Central Park to Grand Central - m4w - missed connections"
"You are a cute girl with short, dark brown hair. I saw you working today.I'm the tall customer with blue eyes.You're pretty.- Kenny",12/22/17,3f728e4443d1045e455ba600bb794920,pittsburgh,"Subway Girl Today - m4w - missed connections"
"Woman with black hair wearing tight fitted jacket that was oppositie me on the train from 14th Street until we both got off at 86th Street.  Interested?",12/22/17,f87cbd69860aef4c34dade9561a7348b,newyork,"Northbound 4/5 Train Friday Afternoon - m4w - missed connections"
"looking for tonight",2018-06-29,9319b6f4728caec76fd9186e0b2d1cec,pittsburgh,"looking for buddy - missed connections"
"N,We spent lunch together, you mostly talking and I listening. I wish I could tell you that I hate seeing you hook up with guys that don't treat you right. You deserve a guy that will answer you when you text and not bail for some dumb reason. Unfortunately, I am probably not even on your radar as having a chance. So I'll be glad to be your friend. J",12/22/17,fbf8f14c372bf381712d1b4f41ccbbc5,pittsburgh,"Wishing I could tell you - m4w - missed connections"
"Hey, I lost your email address. I'm pretty sure the address had 'jayman' in it, but I can't remember exactly what it was. Would like to stay in touch. Been a while since we met up. Drop me a line and let's exchange some more links and see if we can plan to meet up again.",12/22/17,a991b469d50730bc10342715b631ebcb,raleigh,"Jayman - m4m - missed connections"
"Walking your dog yesterday on Park and 87th or 88th.  You are attractive and I should have chatted you up.",12/22/17,ef74d200169acbf464dfa47670be6e31,newyork,"Walking Your Dog - m4w - missed connections"
"What makes you sit around and think of such things?  People can be honest if they wanna be.  It's a choice they make. Not always but now days I try to be as honest as I can be.  Wanna join me?",12/22/17,d8b4e46b5f337c96662e73535d5bc727,raleigh,"Re: Have you ever wondered? - m4w - missed connections"
"I kept my eyes on you while you were working out I saw you glancing my way a few times even gave me a smile.. you were wearing grey under amour shorts.Would love to workout with or even hang out with a few adult beverages",12/22/17,56deca4a3cd0540ed3a5e2f3383fce53,pittsburgh,"Sexy man with a fauxhawk - m4m - missed connections"
"Looking for a dude who i always exchange glances at the gym with. Im late 20's you look about early 30''s . You do the same routine every time treadmill then elipticals. We stare the fuck out of each other as I go to different machines . If you think your him send stats and pics. We'll go from there . Very discreet here",12/22/17,1f0d30767afc90c9b7fa2cd668770c15,pittsburgh,"Planet Fitness - m4m - missed connections"
"This Is Special Massage Only for You , Each & Every Way You Failure, Each & Every Trapp Has Been Crashed, I Am Still There With Strength And Stable , Your Plan To Prison me on , Rape , Threatens, Assault, alligation Dismissal By Them On Evidence, Your Eggo Burnout, Frustration Expose When You Use Children To Reach me , Forget Everything My Arms Still Open For You , I Am Still Honest , Straight, And Broad Mind , You Can Come To Me Anytime Before Final Deadline, Not Only You But Many Other Together Can Not Damage My Mental Strength And That Is Unbreakable Truth You Bind Me , I Didn't , So One Single Massage Will Direct You To Me",12/22/17,51ea4e1d0240193a42898353c2ee7680,raleigh,"It's Not To Late Yet - m4w - missed connections"
"Late on rent. And stressed Is there any sub sissy gents?Str black dom looking For a huge amont today for nothing in return.This ad is only for well off people.Consider it donating to charity.December 21stI'm a black maleM4mIt would come back ten times fold.",12/22/17,bd4256c20849b4309413f5667363f222,newyork,"Rich? - m4m - missed connections"
"i dont know what to do anymore, i waste all my money to feel what you gave for free. the way you make me feel is complicated, and everything else is simple, so it scares me. if you see this, lets just start a band. we could make some good art, and the idea of that doesnt make me wanna burn alive. i never wanted a relationship, just some good art. contact me. or dont, but please do.re: whoever responded to this, it wasnt you",12/22/17,91fd20bd9170fe856275bc81692c7002,pittsburgh,"youre still the makeup on my eyes - w4w - missed connections"
"I saw you as I was arriving. I turned around and you were gone. I've seen you a few times and I highly doubt you noticed me. However one sided this missed connection is may be there is luck on my side ;)",12/22/17,8d158c4561fcaa0eb4438bf8d809a4f8,raleigh,"Like your red pants - m4m - missed connections"
"there's not many, that would post that, respond if it so suitsthere's not many, that would post that, respond if it so suits",12/22/17,e3984f67ec574e06f1f15e204f1a34a0,pittsburgh,"Re: Famous Blue Raincoat - m4w - missed connections"
"More of a connection.  I was in town for the day and stopped at the book store early afternoon.  Had been a long long time.  Met back by the dark rooms and then went to a private booth. Damn guy  I really enjoy the play time. Nice cock and butt and body. Loved working on those nips-they can take a lot. Best of all you are an awesome kisser.I told you to look here.  Tell me how old you said you were or your name and hope we can meet up again sometime.",12/22/17,c1146feb661b52e845bafff2ba5a4608,raleigh,"Book store - m4m - missed connections"
"Well, you've made your bed - now lie in it; you wanted your own way - now, how do you like it?Proverbs 1:31",12/22/17,a005a78b1c3caac1d55fe84ebe7e435f,pittsburgh,"... - m4w - missed connections"
"We have a spot on Craigslist where people can seek each other out. This shouldn't be for solicitations there are other places on personals for this. Flag These solicitations.'Relaxing' --'Grand Opening'--'Maximum Relaxation' These 3 are the same place. They post throughout Craigslist.  'Relationship Reader' ---Hello this is Missed connections, How can you read reltionships if you can't read where you post ?Same ad on other forums'Skype for play''Sexy single looking for true friend partner'---Says shes educated LOL read her post",12/22/17,61aab5e1d0cad2f9c195e1ab32016ab1,newyork,"BRAINLESS  HOOKERS !!!!! - w4m - missed connections"
"Relax 💦💕646 massage.                                                                   Soft 667massage                                                                      Sweet 6228Japanese massage .                                         Full body massage.                                                                                         Clean quiet and comfortable private house Top quality service !                                                                       nice sweet ladies. Our skill and second to none. We'll have coming back for more.Free table shower availableOpen 24/7",12/22/17,2e5f4682163583394451ec5573c1dfb4,newyork,"Maximum *********relaxation - w4m - missed connections"
"You came up to me at boxcar on Friday night and told me I was the prettiest girl in the bar and that you saw me from across the bar. You wanted to talk more but I was out with my friend who was visiting from out of town. I wish I'd given you my number.",12/22/17,dc87998d3cca528d5e04031334f4e1af,raleigh,"Boxcar - w4m - missed connections"
