"location","body","time","title","hash"
"raleigh","Hello? Hello? Hello?Is there anybody in there?Just nod if you can hear meIs there anyone at home?Come on nowI hear you're feeling downWell I can ease your painGet you on your feet againRelaxI'll need some information firstJust the basic factsCan you show me where it hurts?","2020-09-19","Hello? Hello? Hello? Is there anybody in there? - missed connections","0a3a0e7e2dafe17d3d1793dcf0271356"
"pittsburgh","Have you missed a nice soothing relaxing time.male here willing to help with that.contact for details","2020-09-19","missed this - missed connections","31cd02f8c3d8549e5119ef634cd3b757"
"raleigh","Hello! You were at the door when I walked in yesterday, around 7:40 pm, and said goodbye. You seem nice!I was the tall woman with blondish hair, wearing brown pants, a denim shirt, and a checkered mask. I don't think anyone really checks these anymore, but if you do, tell me what color my backpack was.","2020-09-19","Tall Guy Working the Door at Trader Joe's - missed connections","12691b484051e6da701bac1c21d79c30"
"pittsburgh","I am 24 years old white female looking for a guy some fun tonight hangout any guy come to me just for enjoyment. kik me here : Anna7597","2020-09-19","\u00a9\u00a9\u00a924 year old female need a male \u00a9\u00a9\u00a9 - missed connections","3be278471fdc629e71c43f7a8d5f9369"
"pittsburgh","I'm 29yr and Midget mom, looking to make new friends that are 420 friendly.I live alone and have my own \ud83d\ude97car so I can travel if needed send your number ........","2020-09-19","Unhappy Midget Mumy - missed connections","66e525d38d9948d3e66ec6fc9377d99f"
"pittsburgh","Anyone camping in the area this weekend? Looking for some adult fun or activities? Hit us up and see what we can do! M and possible F , late 30s, good shape, 420 and very friendly, fun and open for fun with friends. Happy 4th and hit me up!","2020-09-19","\ud83d\ude3c\ud83d\ude3b\ud83d\ude3c\ud83d\ude3bCamp\ud83d\ude3c\ud83d\ude3bing fun\ud83d\ude3c\ud83d\ude3b\ud83d\ude3c\ud83d\ude3b - missed connections","da3a3b3ed718ea0cccc9faabf46e24ac"
"pittsburgh","Looking for a big instrument to play with now. I have a place be in butler.","2020-09-19","Band practice now - missed connections","0f7b679f3fd2af565f0ebbed674394ad"
"newyork","I saw you yesterday at a pizza place in Woodstock. We were making a lot of eye contact, but I couldn't quite get up the courage to walk up to you or even really indicate there was much of an opening there for you to talk to me. I regret it! I haven't used or looked at missed connections since, maybe, 2004. No doubt the same goes for you. But in case you have a friend who has an old habit of trolling missed connections for scintillating or familiar content while on long, boring Zoom calls here's how I would describe you:Long-ish brown hair, maybe 5'11', white man. You wore jeans that fit nicely and a flannel. At some point you went to your Honda Civic (hybrid, maybe) to get a puffy vest and aviator-style glasses. Were you, like, late 40s/50, maybe? Me: I'm a tall, white woman (5'9'). I have short, brown hair, blue eyes. I'm in my mid-30s. If you happen to see this I think you'll remember who I was. Email me?","2020-09-19","To the handsome fella at the pizza place - missed connections","b40c414254e4ee00b30e9faf27648c58"
"pittsburgh","I'm pretty new around here. Just loooking for a guy to have soome fun tonight.\u201c\u201c Please don\u2019t waste your time if u r not serious.","2020-09-19","23 y/o college giiirL for Fun Tonight! - missed connections","8000723b4bcad1377172cc9eb3cb53d7"
"newyork","You were waiting for a court hearing.  I was in orange shirt registering dog.  Was looking for you again but couldn't find you.","2020-09-19","Woman in Greenport court - missed connections","5eccea1b75b2508d131343089d2b8ff1"
"newyork","Female who is almost a college graduate in Psychology/Sociology looking for an unpaid internship in an office once a week that I can use on a resume.","2020-09-18","Looking for an internship - missed connections","632cd6458c034f786841845b41856e48"
"raleigh","older Caucasian lady....I saw you looking for me......older Caucasian man.","2020-09-18","I saw you looking at me - missed connections","94d3f3283d324a11f564aa9f2653401d"
"pittsburgh","Hello I'm here to make an extra couple dollars during the Covid 19. I am a handyman, I can fix things around the house, outside work and whatever you need done I can travel to you. Thank you and please email me. Serious people that need help feel free.","2020-09-18","Handyman here for all your needs especially for the 'Elder' - missed...","72a8ef9ddfc8dc1f94f1f2885da99ca5"
"newyork","Female from Jefferson area use to hook up with couple years ago loss contact with you  looking meet up","2020-09-18","Female from Jefferson area use chill with - missed connections","839bc5d6013be29a291e44c671429e9b"
"raleigh","I'm looking for Travis Fry. It is VERY IMPORTANT that I find him. Please anyone with information contact me. Please include a description of him, his middle name, his nick name and/or his age, so I know it isn't a scam or I will not contact you back. My name is Tish. Thanks","2020-09-18","Looking for TRAVIS FRY - missed connections","3e2a999d446207dbb5d231c648a1457a"
"raleigh","You told me you were nervous about everything.   Were you too nervous that you were getting close or nervous that you had feelings for someone from your past.  I walked away because I doubted you liked me.","2020-09-18","Nerves and had to quit - missed connections","e22cc07b1432cf90df0f3e1c5ace35ce"
"pittsburgh","You used to bartend at 5th ave taphouse, I always liked having conversations with you.  Think about you often.","2020-09-18","mandi/mandy used to work at 5th ave taphouse - missed connections","900ccc11285cfb508174b4087ea4923b"
"pittsburgh","49 cd love to please. Right now","2020-09-18","Cd looking for sum fun - missed connections","e1e41ad51732816378b5bb655df65496"
"newyork","Hi i am looking for a woman that needs her pipes drain and are filled and need to be loosen or a woman that just needs a premium tune up .I am the man for the job .im a 41 year old black man .race doesnt matter at all .lets see if we can get the flames sparked cause as long as you have the light and fluids i have the stick .","2020-09-18","Do you need a tune up? - missed connections","309a86ce71a4136c010b262abe9e1efe"
"newyork","I asked you about your bike.  We had good, upbeat small talk.  There is another universe where we went for a short ride together and grabbed a drink at one of the outdoor restaurants...finding our own little world within the weird world around us.  I wonder if you wondered why I didn't ask for your number.  I most certainly do.","2020-09-18","Cute Girl with Bianchi at King Kog - missed connections","239644647ab6819e62fd0705430e8082"
"newyork","Been awhile since I've been on a date. Would love to experience what it's like again. 22 y/o male looking to pay a female for a date. Nothing more. All women are welcome. Just looking to have fun and get out there again. Hmu if interested","2020-09-18","Date night - missed connections","98a562c142e0955cab4a675802962e56"
"pittsburgh","Slip on over to BedWeGo. com so you can actually find a real person in the Pittsburgh area to have some intimate times with in bed.  This would be where that sort off thing happens these days, so, yeah, your welcome in advance.","2020-09-18","When Your Done Reading Fictitious Listings Every Day - missed...","0622c6eb400ab119631cc1d87aa8c2c2"
"newyork","32 year old guy looking for an older woman to hang out with get to know and see where things go","2020-09-17","Any older ladies out there? - missed connections","17c7386f1e917f3b3fdf6814d1b9660c"
"raleigh","You're female, so am I. Both 420 friendly and can handle a couple shots. I'm 27, educated, black, not sure of your ethnicity or background, not really important. You and I both seek intimacy, long to be touched, and looovvve to be eaten. Where are you? NO C O U P L E. Should be at least slightly intellectual so we can talk outside of 'wyd', 'how was your day.'","2020-09-17","You said you liked bigger women... wfw - missed connections","bec8c8c8292b5a925c6065e53b96332d"
"newyork","We met on the upper deck of the Ferry to Queens yesterday and chatted for a bit. I was the guy getting off at Astoria, carrying a DSLR camera and a backpack.If you see this, lmk where you were getting off and a detail of what else we talked about, and your name.","2020-09-17","Woman on Ferry to Queens 9/12 - missed connections","c7a446b9c9ae11180b5574511ef3c176"
"raleigh","Fit 30yr old BM Looking for something with older FM","2020-09-17","Fit 30yr old BM Looking for something with older FM - missed...","88f8c6dc027313c19120abcec6f89c41"
"pittsburgh","Good looking mid 20s looking to top swap today. You have to host. Looking now","2020-09-17","Top swap - missed connections","e0bbb802eb1280d42a4dbe0d04b8cbc4"
"raleigh","Looking for a male that is bored or lonely and would appreciate random photos and chats throughout the day just for fun.","2020-09-17","33 y/o Texting Curvy - missed connections","24c3d81932775efabcbc26d5abe53718"
"raleigh","Hi! You [F] used to give me some of your old, heavily worn clothes. If you were interested in reconnecting, please reach out to me.","2020-09-17","Your clothes - missed connections","074f8af636292296f5cabfe51a8c1e3f"
"pittsburgh","Hey looking for the guy that previously posted selling Vit V. Bought from you several times. Just tried tocontact you but the email linked to Craigslist no longer works. Want to make another purchase. Just letme know place or area we use to meet up. Thanks.","2020-09-17","To The Guy That Sold Vit V - missed connections","7b01f23950feb2b3b05e6ca96289bb33"
"pittsburgh","You: taller blonde, dark eye make up, wearing all black. You had a tattoo above your elbow. I believe it was a crown.Me: food delivery driver. Also wearing all black. Black bandana as a mask. We shared like 3-4 glances. I think you\u2019re a babe, but hitting on people at work is weak. So I\u2019ll try anonymously online instead. Let\u2019s meet and do something spooky.","2020-09-17","Primantis waitress. - missed connections","0041037441326a77b3900b2746dc0a7d"
"pittsburgh","If you are looking for a older lover give me a shout out ... lets have lunch or chat in the car, wear a summer dress ...make grandad happy. Be real and local...the high school football team is called .... the answer in your reply.","2020-09-17","70 M seeks woman with grandfather issues - missed connections","97c1b461a835c7623f69ebc2bb2ff3b7"
"newyork","For real?! You actually think you can find some random residents to chill in quarantine with? You won\u2019t find everything you are trying to find here unless you like fake posts and automated replies By replying you are putting your protection and personal information at risk!    I can notify you to that destination is merely an one spot left that has not been wrecked and actually is definitely loaded with girls looking for casualencounters. That place is \u24bb\u24c1\u24be\u24c7\u24c9\u24c8\u24cc\u24b6\u24c5. \u24d2\u24de\u24dcLook because of it out, its hard to miss When you are serious regarding finding someone, proceed check it out. You are able to give thanks to me later. Become well!","2020-09-17","Delight in the simple items in life. - missed connections","e18dfe2b7bc7893f69afea2afcbbab0c"
"raleigh","I'm still stupid so I check here every week or so since you know this is the only way to contact me. I know you've forgotten. But I haven't. I've tried.hint: we worked together","2020-09-17","It's been about 6 years - missed connections","c55de2859d3d7e488b922b912d82a565"
"pittsburgh","Looking for an old buddy. In town for tonight looking for him to play some games.","2020-09-16","Old Buddy - missed connections","715d2bcd7f939d36022c547a6dcacbf4"
"pittsburgh","YES...I DO !this guy will do exactly as he is told. i like what you like...don't be worried about it. ask me ! i am into many things so don't be shy in telling me what you like and want. i am fifty and love to please.","2020-09-16","YES...i do ! - missed connections","837e770c578cc2c5e036552fc305aaba"
"raleigh","Saw you walking today on the sidewalk around 5pm. It has been a very long time since seeing a woman with that style and it awoke an emotion in me that has been hidden since my high school years. Literally felt my pupils dilate like before. I saw that you turned to look at my car and being the shy guy that I found out I still am in that quick moment, I quickly turned away. You will probably never see this but thank you for bringing out the emotion, even for a little bit, I once had.","2020-09-16","Woman walking on Walnut Street - missed connections","3b1e93dbf34e4cefd4afa70e4cde027b"
"raleigh","Hello! I was the woman talking to her mom on speakerphone as I got out of my car hahaYou have a beautiful smile and great two tone hair. I hope we cross paths again! If this is you, maybe respond with what I was wearing or some other detail?","2020-09-16","Woman Walking Dog Near Wrightwood Park - missed connections","30aae19ed777ae9722ea9d4cf5217107"
"newyork","Remember when you would let me watch you and your boyfriend? I remember you two having so much fun loving eachotherYou would let me kiss your back while you held him close I remember how both of you looked so handsome with your charcoal grey suits and silver ties going to your sister's wedding... boy oh boy did we have a great night that nightWe always said forever, wonder what happened to that I really thought it would be you him and me forever Guess that was impossible \u2661Jake.P\u2661Lenny.R\u2661Kate.AWish you and Jake were still with me Will I ever find such happiness again \u2661Lonely Kate\u2661","2020-09-16","REMEMBER WHEN - missed connections","b2e4ac9e972ad03124170b58e37b27a7"
"raleigh","Looking to help in eney way you need","2020-09-16","M 23 looking to help older f today - missed connections","7d050716f0c4b87015b9a83f1c9b76b6"
"newyork","I'm lonely chubby female looking for male to meet up with I don't care bout ageWe need a rhythm guitarist for our band. Right now we only have a drummer, keyboarder, and lead guitarist. We all take part in singing so, that is a plus if you can hold a note. We need a dedicated Christan or open-minded person to be apart of our band. There is no pay involved since all of us are doing it for the LORD. Looking for a new family to take our sweet puppy and give her a yard and time to play. We had an acere lot but had to recently move to a townhome. It is not fair for her to be crated all day. She is 9m and we were told she was a mix of a minpin and sheepdog. She has not been fixed yet. Small rehoming fee. But will come with crate and bowls.I'm getting tired of not be able to perform live shows, going on tours, making new records, rehears and working with many creative people. I'm a bassist with over 30 years of music experience. Very well trained and fluid in many music genres. I both read music charts and play by ear. Have an excellent tone and stage presence. I would prefer to stick with anything Funk, R&B, Blues, Modern Gospel or Latin - as long as it swings and has a deep pocket. Also, I LOVE anything jazz... just saying it here. Please feel free to call, text me directly - my name and number are listed above in the 'reply' box. Send me your email address so I can send you many samples of my past work. Feel free to share your thoughts with me. Thanks for looking and I look forward to speaking with you soon! I'm looking for the following: Solid country fiddle player / mandolin a huge plus 2nd acoustic singer songwriter who can harmonize Bass Multi-percussionist (Cajon, shakers, etc. I also have a Shuitar I made you can try) Eventually I will add a piano player unless there is one out there now who wants to lug around a real spinet sized piano. If not I will recruit one and let them use mine. It's my intention to grow the band into a regional touring act, hitting all the big festivals once the world is free to move about the cabin once again. And I want you to be local to Collin County so we can be spontaneous and not have to wait hours to get everyone together should a last minute opportunity arise. Chris Stapleton - Whiskey","2020-09-16","lonely female chubby - missed connections","eabcfbe36c586b2322156f9d08caa537"
"raleigh","Hey, 23 year old white female looking for someone to text at night.","2020-09-16","23 year old - missed connections","de6ce65bd2d7bb825f9bd60800a9596d"
"newyork","I saw you on the bike trail couple of nights ago and you were with your husband, Looked at me as if you new me. I would love to hear from you Thank you","2020-09-16","Wall Township Bike Trail - missed connections","e69c6fa9ac604a79fab6a688abb7225e"
"raleigh","Will be sitting on the deck N--- having a glass of wine. Is there a male that would like to come over tonight and sit and talk with another male,  and enjoy the night breeze.","2020-09-16","Sitting on Deck - missed connections","7d4d6c4f401ed64f9f83587cb8587f04"
"newyork","Im tall blonde wealthy gent.  Love a girl like you.  I enjoy best things in life. You should contact me. Kik soup4531","2020-09-16","Looking for Asian CD ot TG - missed connections","7b4d90edd7a2bd4ae0288c6d65829de5"
"raleigh","I'm looking for a female unicorn (age 25-45) to surprise my husband on his birthday. We are in late 30s.","2020-09-15","Looking for a unicorn \ud83e\udd84 - missed connections","dd94e6a1a208ca2e92c27801baf5f964"
"pittsburgh","I'm looking for college girls around the Latrobe area that needs extra $$ help.. Please reply back with age n picture.","2020-09-15","Needy college girls - missed connections","0d24806aff0504c9f398852889202806"
"pittsburgh","Looking for host early tomorrow morning that needs pipes cleaning!!","2020-09-15","Early morning host - missed connections","3378f9fbbe11d0a558f61d5609c583da"
"newyork","We were both looking at italian pastries, I then moved on to gelato. You were tall in green pants and those cool white chucks, with longish brown wavy hair (maybe you ride BMX, your forearms said you did) I'm guessing you were with your friend... you asked what flavor I was thinking about and I was just overwhelmed by choices. You pointed to the mint chip (that shit tastes like toothpaste) but could this all have been a missed connection? You are fine as wine, if you ever see this hit my line.So I know it's really you tell me what I was wearing or how I pulled up to the spot (am I even that impressionable?)","2020-09-15","Fortunato bro or no? - missed connections","ae7f5a68ee5d8dc18ca21e6d310e13ff"
"raleigh","Hey does anyone want a gooning partner? I\u2019m a young attractive guy looking to relax and unload. Let me know if you\u2019re free. Tonight would be cool.","2020-09-15","Gooning partner - missed connections","1d5bd792c393d3e7d10b422668532cea"
"pittsburgh","Im a male British man looking for some female company tonight message if interested","2020-09-15","Female company - missed connections","c80613f167acd300f38a846444ae05bf"
"pittsburgh","M for F. 5 11 175 let me know if you're  into pleasure. Big one always ready.","2020-09-15","seeking fun times - missed connections","0ec52d55a0a3d27ab0755bd7ae5eaa39"
"raleigh","Looking to try out someone's flash light. Got 1x6 post that need some lite on it","2020-09-15","Flashlight - missed connections","8449c4bcb3389ac5fbc0156d51973918"
"newyork","Buenos Dias Presciosa,M,Como Fue'C\u00f3mo fueNo s\u00e9 decirte c\u00f3mo fueNo s\u00e9 explicarme qu\u00e9 pas\u00f3Pero de ti me enamor\u00e9Fue una luzQue ilumin\u00f3 todo mi serTu risa como un manantialReg\u00f3 mi vida de inquietudFueron tus ojos o tu bocaFueron tus manos o tu vozFue a lo mejor la impacienciaDe tanto esperar tu llegadaM\u00e1s no s\u00e9No s\u00e9 decirte c\u00f3mo fueNo s\u00e9 explicarme qu\u00e9 pas\u00f3Pero de ti me enamor\u00e9Fueron tus ojos o tu bocaFueron tus manos o tu vozFue a lo mejor la impacienciaDe tanto esperar tu llegadaM\u00e1s no s\u00e9No s\u00e9 decirte c\u00f3mo fueNo s\u00e9 explicarme qu\u00e9 pas\u00f3Pero de ti me enamor\u00e9'How Did It Happen?I can't tell you how it wasI don't know how to explain what happenedBut I fell in love with youIt was a lightThat illuminated my whole beingYour laugh like a springWatered my life with restlessnessWas it your eyes or your mouthWas it your hands or your voiceMaybe it was impatienceFrom waiting for your arrivalMore I don't knowI can't tell you how it wasI don't know how to explain what happenedBut I fell in love with youWas it your eyes or your mouthWas it your hands or your voiceMaybe it was impatienceFrom waiting for your arrivalMore I don't knowI can't tell you how it wasI don't know how to explain what happenedBut I fell in love with you'R.","2020-09-15","To the most beautiful woman with the most beautifully flowered name...","623be04a6fc70f9b8cf05e6c18341720"
"newyork","I saw u last week on 82 street I think u work for some ngo in church, we look at each other and kept on staring, hope we meet again sometime someday.","2020-09-15","lovely eyes - missed connections","15381179d0e0e85efce27a3474f6d7a5"
"pittsburgh","If your a seasoned adventurer or a young newbie or even a lady who simply wants to try it, then it doesn't hurt to contact me and ask questions at least.","2020-09-15","Are you a lady curious about bondage? - missed connections","61305e9ad377dda492bfc2064ba6f5c7"
"newyork","Just curious if there's any women who are into the band.Maybe you like The Sundays","2020-09-15","The Sea and Cake - missed connections","32215d7d3ee18cc6feb84ebf289c3c72"
"raleigh","We will be in Benson tomorrow!  We are looking to hang out in the morning-email us when you see this.","2020-09-14","We miss our friend John - missed connections","38e89d5a95f809b9a55bc6d5e6fe2939"
"newyork","Your beauty was revealed (as you walked to your car thus) my comment rang true.I would have stayed to chat you up but I was already late.Now I'm thinking... missed connection.Can you tell me what (I thought) was so beautiful about you? If there is a possibility for a new friendship.Walgreens!","2020-09-14","Beauty below the mask - missed connections","c69c371446265cd5f080d13b8fc0e27c"
"pittsburgh","I'm looking for a lady who wishes to be bound helpless as well as do the binding also.Message for details","2020-09-14","Bondage Switch - missed connections","b5455a14078f8ca4c8bbd8d2a133ae69"
"pittsburgh","For real?! You really think you may find random local people to chill during quarantine with? That place is filled with PIs aiming to catch cheaters, or maybe guys cat fishing for dirty pictures By replying that you are putting your security and personal information at risk!    I will be able to tell you there is just an one spot left which has not been ruined and actually is packed with girls looking for casualencounters. That spot is \u24bb\u24c1\u24be\u24c7\u24c9\u24c8\u24cc\u24b6\u24c5. \u24d2\u24de\u24dcLook for this out, its hard to miss While you are serious regarding finding someone, go look it over. You may thank me later. Become well!","2020-09-14","Caught the eye - missed connections","051133540546d5af5dad37bd68ea9e20"
"pittsburgh","Bored, Anybody Home Alone, Looking for Something to Do, Maybe we can put our Head's Together, and See What Comes Up","2020-09-14","Anybody Else, Bored - missed connections","37331b661c92234fde56df157bf07990"
"raleigh","Looking for a special lady $$ to spend time with.","2020-09-14","Looking for friend to spen time - missed connections","da34500f263d876c5b184c7db0d3a773"
"pittsburgh","Thank you for your help today! And Thank you for not thinking I was gonna rob ya. :D Take care!","2020-09-14","Greensburg Giant eagle leopard hijab - missed connections","8e880c669b4f4e59d9a870998ae0c9c7"
"pittsburgh","This Corona virus has me feeling down.i\u2019m 34s female Looking for friends for conversation then... I am open to everyone Email me ,,,anytime","2020-09-14","Mom~!~ Feeling depressed - missed connections","7412d8aa339dacad6653d5f61849b59d"
"newyork","\u25baF/f seeking m for Sunday or mon ir both play date we are clean and we \u25bacan host However we live in MIDTOWN. E WE WILL BE HAPPY \u25baCOME GET YOU PLEASE RESPOND WITH PIC for pic. this is \u25bafor weekends or midweek CallMeee9two9 3nine3 19five5","2020-09-14","CoUple sEEking \u2665mAle play date fOOr allday\u2665 night - missed connections","16f66cd5cce0fb0542315d705c28484a"
"newyork","Female looking for Male or Female friends with benefits. Msge meI'm getting tired of not be able to perform live shows, going on tours, making new records, rehears and working with many creative people. I'm a bassist with over 30 years of music experience. Very well trained and fluid in many music genres. I both read music charts and play by ear. Have an excellent tone and stage presence. I would prefer to stick with anything Funk, R&B, Blues, Modern Gospel or Latin - as long as it swings and has a deep pocket. Also, I LOVE anything jazz... just saying it here. Please feel free to call, text me directly - my name and number are listed above in the 'reply' box. Send me your email address so I can send you many samples of my past work. Feel free to share your thoughts with me. Thanks for looking and I look forward to speaking with you soon! I'm looking for the following: Solid country fiddle player / mandolin a huge plus 2nd acoustic singer songwriter who can harmonize Bass Multi-percussionist (Cajon, shakers, etc. I also have a Shuitar I made you can try) Eventually I will add a piano player unless there is one out there now who wants to lug around a real spinet sized piano. If not I will recruit one and let them use mine. It's my intention to grow the band into a regional touring act, hitting all the big festivals once the world is free to move about the cabin once again. And I want you to be local to Collin County so we can be spontaneous and not have to wait hours to get everyone together should a last minute opportunity arise. Chris Stapleton - Whiskey Myers - Blackberry Smoke - Tom Petty - Robert Earl Keen - Ray Wylie - Lots More","2020-09-14","30 y.o..... female looking - missed connections","7aca3850aaff714ea2dd96aa9136812f"
"newyork","Hi Galina. We met by Top Tomato in Tottenville. I help you to carry case of water to your car. Please email me.","2020-09-14","Russian girl Galina - missed connections","43b398e0c0d6b51f8fdec1755aa9dd98"
"newyork","i love you 3000","2020-09-13","iron man - missed connections","d1c5870c08bfbd4d42c705110943bec9"
"newyork","I was drawing a sculpture in the European Sculpture Hall at the Met.  You passed by multiple times. I had red shorts. You had long dark hair and loud shoes. Then I turned around and saw you again and you waved. We looked at each other and you kept walking.","2020-09-13","At the Met, I was drawing and you waved - missed connections","2d6ed0d0af5568e00359a397307399f9"
"raleigh","Looking to have some fun ....Dominant black male about 6'1 slight muscular build...send pics and stats....no pics no reply....","2020-09-13","Interested in Ts,CD or feminate bottom for fun tonite - missed...","6795a7a9d307038bdddad78a8e1d785d"
"newyork","A - You said to send you a post so you'd know it was real.  Respectfully saying hello to a beautiful woman with great taste in music.  Real and reliable here.  Hope you see this and we can get started on that future goals project you mentioned :)","2020-09-13","Amelia Bedelia - missed connections","306602a8fec45c67c00fb4f056a664b1"
"pittsburgh","You live in the zipcode in this post. You work at a bank South of your zipcode We have talked and gave you my info. You  are very attractive early 60s Doubt you will see this Would love to have dinner.","2020-09-13","We talked at the bank you work at - missed connections","23758a991cd6faa65ded66994995c5b4"
"pittsburgh","michelle taylor who lived on mt washington about 5 years ago bob","2020-09-13","michelle taylor - missed connections","6070dbde0cdc978f91a24a5ae2fd54da"
"newyork","are you an asian woman that stops by bagel store in rego park sometimes,salt&pepper hair,eye glasses.?always with a beautiful smile on her face.i want to hold you and kiss you.","2020-09-13","asian attraction - missed connections","4818289da44e3d53184549dc5c74776e"
"raleigh","2 guys looking some fun.  Looking to host a guy for a good time.","2020-09-13","Looking fun - missed connections","2cc6d837495e1a30101fdb907181f511"
"raleigh","Lady off brogden road i use to hang out with you in back building behind your house. Lost your number , you use to work at hotel.  Would love to hookup again .","2020-09-13","Off brogden rd - missed connections","7ccd80ab5952c461ef7edde6c57a4851"
